"","name","name_en","fulladdress","building","contact_vk","lon","lat"
"1","Комендантский дом","Commandant's House","Петропавловская крепость, 3 литА","yes",NA,30.3166718,59.9500019
"2","Михайловский замок","Saint Michael's Castle","Садовая улица, 2","yes",NA,30.33693,59.940243
"3","Мраморный дворец","Marble Palace","Миллионная улица, 5/1","castle",NA,37.697004,55.816385
"4","Строгановский дворец","Stroganov Palace","Невский проспект, 17","public",NA,30.3206508,59.9358282
"5","Музей прикладного искусства СПБГХПА им. А. Л. Штиглица",NA,"Соляной переулок, 15","yes",NA,30.340531,59.942946
"6","Особняк Румянцева",NA,"Английская набережная, 44","yes",NA,30.289327,59.9327446
"7","Конюшенный корпус","Stable Building","Елагин остров, 4 литД","public",NA,30.2563867,59.9796099
"8","Петропавловский собор","Peter and Paul Cathedral","Петропавловская крепость, 3 литЖ","yes",NA,30.318246,59.949755
"9","Русский музей, Корпус Бенуа","Russian Museum, Korpus Benua","Инженерная улица, 2-4 литА","yes",NA,32.0018665,46.9694935
"10","Гранд Макет Россия","Grand Maket Russia","Цветочная улица, 16 литЛ","yes",NA,30.3309562,59.8880612
"11","Детский музейный центр исторического воспитания",NA,"Болотная улица, 13","yes",NA,30.354538,60.0011
"12","Исаакиевский собор","St Isaac's Cathedral","Исаакиевская площадь, 4","cathedral",NA,30.3061028,59.934111
"13","Музей антропологии и этнографии имени Петра Великого Российской Академии наук","Peter the Great Museum of Anthropology and Ethnography","Университетская набережная, 3","yes",NA,30.304509,59.941561
"14","Музей хлеба","The Museum of bread","улица Михайлова, 2","yes","https://vk.com/club37126776",30.360111,59.953599
"15","Зоологический музей Зоологического института РАН","Zoological Museum of the Zoological Institute of the Russian Academy of Sciences","Университетская набережная, 1-3","yes",NA,30.305456,59.942373
"16","Музей Камня","Museum of Stone","набережная канала Грибоедова, 2А литЛ","yes",NA,30.328004,59.937192
"17","Мастерская М. К. Аникушина",NA,"Вяземский переулок, 8","yes",NA,135.104834,48.4817689
"18","Домик Петра I","Cabin of Peter the Great","Петровская набережная, 6","yes",NA,30.3308382,59.9532738
"19","Государственный мемориальный музей А.В. Суворова",NA,"Кирочная улица, 43","yes",NA,30.376488,59.94323
"20","Музей Октябрьской железной дороги","Oktyabrskaya Railway Museum","набережная Обводного канала, 114","yes",NA,30.310587,59.908086
"21","Эрарта","Erarta","29-я линия В.О., 2","yes",NA,30.25139,59.932118
"22","Нарвская застава",NA,"улица Ивана Черных, 23","yes",NA,30.2829377,59.9017027
"23","Невская застава",NA,"Ново-Александровская улица, 23","yes",NA,30.460057,59.865712
"24","Музей Арктики и Антарктики","Russian State Museum of Arctic and Antarctic","улица Марата, 24А литА","yes",NA,30.35339,59.927222
"25","Центральный музей связи имени А.С. Попова",NA,"Почтамтская улица, 7","yes",NA,30.302373,59.93246
"26","Музей петербургского авангарда",NA,"улица Профессора Попова, 10","yes",NA,30.3123477,59.9708927
"27","Петербургский музей кукол",NA,"Камская улица, 8/90","yes",NA,30.259531,59.947285
"28","Культурный центр ""Новый акрополь""",NA,"проспект Энгельса, 92","yes",NA,30.318504,60.023698
"29","Музей обороны и блокады Ленинграда",NA,"Соляной переулок, 9","yes",NA,30.340766,59.944386
"30","Фрейлинский корпус",NA,"Елагин остров, 4 литЛ","public",NA,30.2589351,59.9790934
"31","Юсуповский дворец",NA,"набережная реки Мойки, 94","yes","https://vk.com/yusupov_palace",30.2980533,59.9292671
"32","Дом садовника Бука",NA,"Елагин остров, 4 литГ","public",NA,30.2563867,59.9796099
"33","Кавалерский корпус","Cavalry Corps","Елагин остров, 4 литК","public",NA,30.2589351,59.9790934
"34","Меншиковский дворец","Menshikov Palace","Университетская набережная, 15","yes",NA,30.295339,59.939447
"35","Российский этнографический музей","Russian Museum of Ethnography","Инженерная улица, 4/1","yes",NA,30.3343929,59.9378311
"36","Государственный Эрмитаж (Главный штаб Восточное крыло)","The state Hermitage Museum (General staff building East wing)","Дворцовая площадь, 6-8","yes",NA,30.3149874,59.938942
"37","Центральный музей железнодорожного транспорта",NA,"Садовая улица, 50",NA,NA,30.31356,59.924412
"38","Ботанический музей БИН","Botanical Museum","улица Профессора Попова, 2",NA,NA,30.3228397,59.9712251
"39","Военно-медицинский музей",NA,"Лазаретный переулок, 2",NA,"https://vk.com/milmed_spb",30.3263354,59.9208791
"40","РОСФОТО",NA,"Большая Морская улица, 35",NA,NA,30.3104844,59.9332549
"41","Музей-квартира актеров Самойловых",NA,"Стремянная улица, 8",NA,NA,30.350589,59.931196
"42","Русский Левша",NA,"Итальянская улица, 35",NA,NA,30.340672,59.935359
"43","Музей-квартира М.М. Зощенко",NA,"Малая Конюшенная улица, 4/2",NA,NA,30.3259729,59.9378278
"44","Петровская Акватория","Petrovskaya Aquatoria","Малая Морская улица, 4/1",NA,NA,30.3146723,59.935987
"45","Научно-исследовательский музей РАХ",NA,"Университетская набережная, 17",NA,NA,30.290281,59.937479
"46","Музей школы Карла Мая",NA,"14-я линия В.О., 39",NA,NA,30.2694683,59.9397742
"47","Историческая верфь ""Полтава""",NA,"Береговая улица, 9",NA,NA,39.704045,47.213093
"48","Мир воды Санкт-Петербурга",NA,"Шпалерная улица, 56",NA,NA,30.3748867,59.9489322
"49","Музей Эмоций",NA,"Итальянская улица, 1",NA,NA,30.3275196,59.9367626
"50","Музей логистики",NA,"Кожевенная линия, 30",NA,NA,30.2512931,59.9222365
